id,title,scope,stage,state,contract,tests,operations
verify.add.scalar,add: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.add.scalar.i1 verify.add.scalar.i8 verify.add.scalar.i32 verify.add.scalar.i64 verify.add.scalar.i128,llvm.add
verify.add.vectors,add: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.add.vectors.fixed verify.add.vectors.scalable,llvm.add
verify.add.mismatch,add: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.add.mismatch.i32-i64,llvm.add
roundtrip.add,add: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.add.scalar,llvm.add
execute.add,add: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.add.i8-0 execute.add.i8-1 execute.add.i8-2 execute.add.i8-3 execute.add.i32-0 execute.add.i32-1 execute.add.i32-2 execute.add.i32-3 execute.add.i64-0 execute.add.i64-1 execute.add.i64-2 execute.add.i64-3 execute.add.i128-0 execute.add.i128-1 execute.add.i128-2 execute.add.i128-3,llvm.add
verify.sub.scalar,sub: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.sub.scalar.i1 verify.sub.scalar.i8 verify.sub.scalar.i32 verify.sub.scalar.i64 verify.sub.scalar.i128,llvm.sub
verify.sub.vectors,sub: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.sub.vectors.fixed verify.sub.vectors.scalable,llvm.sub
verify.sub.mismatch,sub: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.sub.mismatch.i32-i64,llvm.sub
roundtrip.sub,sub: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.sub.scalar,llvm.sub
execute.sub,sub: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.sub.i8-0 execute.sub.i8-1 execute.sub.i8-2 execute.sub.i8-3 execute.sub.i32-0 execute.sub.i32-1 execute.sub.i32-2 execute.sub.i32-3 execute.sub.i64-0 execute.sub.i64-1 execute.sub.i64-2 execute.sub.i64-3 execute.sub.i128-0 execute.sub.i128-1 execute.sub.i128-2 execute.sub.i128-3,llvm.sub
verify.mul.scalar,mul: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.mul.scalar.i1 verify.mul.scalar.i8 verify.mul.scalar.i32 verify.mul.scalar.i64 verify.mul.scalar.i128,llvm.mul
verify.mul.vectors,mul: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.mul.vectors.fixed verify.mul.vectors.scalable,llvm.mul
verify.mul.mismatch,mul: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.mul.mismatch.i32-i64,llvm.mul
roundtrip.mul,mul: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.mul.scalar,llvm.mul
execute.mul,mul: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.mul.i8-0 execute.mul.i8-1 execute.mul.i8-2 execute.mul.i8-3 execute.mul.i32-0 execute.mul.i32-1 execute.mul.i32-2 execute.mul.i32-3 execute.mul.i64-0 execute.mul.i64-1 execute.mul.i64-2 execute.mul.i64-3 execute.mul.i128-0 execute.mul.i128-1 execute.mul.i128-2 execute.mul.i128-3,llvm.mul
verify.and.scalar,and: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.and.scalar.i1 verify.and.scalar.i8 verify.and.scalar.i32 verify.and.scalar.i64 verify.and.scalar.i128,llvm.and
verify.and.vectors,and: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.and.vectors.fixed verify.and.vectors.scalable,llvm.and
verify.and.mismatch,and: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.and.mismatch.i32-i64,llvm.and
roundtrip.and,and: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.and.scalar,llvm.and
execute.and,and: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.and.i8-0 execute.and.i8-1 execute.and.i8-2 execute.and.i8-3 execute.and.i32-0 execute.and.i32-1 execute.and.i32-2 execute.and.i32-3 execute.and.i64-0 execute.and.i64-1 execute.and.i64-2 execute.and.i64-3 execute.and.i128-0 execute.and.i128-1 execute.and.i128-2 execute.and.i128-3,llvm.and
verify.or.scalar,or: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.or.scalar.i1 verify.or.scalar.i8 verify.or.scalar.i32 verify.or.scalar.i64 verify.or.scalar.i128,llvm.or
verify.or.vectors,or: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.or.vectors.fixed verify.or.vectors.scalable,llvm.or
verify.or.mismatch,or: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.or.mismatch.i32-i64,llvm.or
roundtrip.or,or: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.or.scalar,llvm.or
execute.or,or: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.or.i8-0 execute.or.i8-1 execute.or.i8-2 execute.or.i8-3 execute.or.i32-0 execute.or.i32-1 execute.or.i32-2 execute.or.i32-3 execute.or.i64-0 execute.or.i64-1 execute.or.i64-2 execute.or.i64-3 execute.or.i128-0 execute.or.i128-1 execute.or.i128-2 execute.or.i128-3,llvm.or
verify.xor.scalar,xor: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.xor.scalar.i1 verify.xor.scalar.i8 verify.xor.scalar.i32 verify.xor.scalar.i64 verify.xor.scalar.i128,llvm.xor
verify.xor.vectors,xor: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.xor.vectors.fixed verify.xor.vectors.scalable,llvm.xor
verify.xor.mismatch,xor: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.xor.mismatch.i32-i64,llvm.xor
roundtrip.xor,xor: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.xor.scalar,llvm.xor
execute.xor,xor: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.xor.i8-0 execute.xor.i8-1 execute.xor.i8-2 execute.xor.i8-3 execute.xor.i32-0 execute.xor.i32-1 execute.xor.i32-2 execute.xor.i32-3 execute.xor.i64-0 execute.xor.i64-1 execute.xor.i64-2 execute.xor.i64-3 execute.xor.i128-0 execute.xor.i128-1 execute.xor.i128-2 execute.xor.i128-3,llvm.xor
verify.shl.scalar,shl: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.shl.scalar.i1 verify.shl.scalar.i8 verify.shl.scalar.i32 verify.shl.scalar.i64 verify.shl.scalar.i128,llvm.shl
verify.shl.vectors,shl: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.shl.vectors.fixed verify.shl.vectors.scalable,llvm.shl
verify.shl.mismatch,shl: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.shl.mismatch.i32-i64,llvm.shl
roundtrip.shl,shl: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.shl.scalar,llvm.shl
execute.shl,shl: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.shl.i8-0 execute.shl.i8-1 execute.shl.i8-2 execute.shl.i8-3 execute.shl.i32-0 execute.shl.i32-1 execute.shl.i32-2 execute.shl.i32-3 execute.shl.i64-0 execute.shl.i64-1 execute.shl.i64-2 execute.shl.i64-3 execute.shl.i128-0 execute.shl.i128-1 execute.shl.i128-2 execute.shl.i128-3,llvm.shl
verify.lshr.scalar,lshr: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.lshr.scalar.i1 verify.lshr.scalar.i8 verify.lshr.scalar.i32 verify.lshr.scalar.i64 verify.lshr.scalar.i128,llvm.lshr
verify.lshr.vectors,lshr: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.lshr.vectors.fixed verify.lshr.vectors.scalable,llvm.lshr
verify.lshr.mismatch,lshr: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.lshr.mismatch.i32-i64,llvm.lshr
roundtrip.lshr,lshr: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.lshr.scalar,llvm.lshr
execute.lshr,lshr: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.lshr.i8-0 execute.lshr.i8-1 execute.lshr.i8-2 execute.lshr.i8-3 execute.lshr.i32-0 execute.lshr.i32-1 execute.lshr.i32-2 execute.lshr.i32-3 execute.lshr.i64-0 execute.lshr.i64-1 execute.lshr.i64-2 execute.lshr.i64-3 execute.lshr.i128-0 execute.lshr.i128-1 execute.lshr.i128-2 execute.lshr.i128-3,llvm.lshr
verify.ashr.scalar,ashr: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.ashr.scalar.i1 verify.ashr.scalar.i8 verify.ashr.scalar.i32 verify.ashr.scalar.i64 verify.ashr.scalar.i128,llvm.ashr
verify.ashr.vectors,ashr: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.ashr.vectors.fixed verify.ashr.vectors.scalable,llvm.ashr
verify.ashr.mismatch,ashr: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.ashr.mismatch.i32-i64,llvm.ashr
roundtrip.ashr,ashr: preserve canonical IR,llvm-compat,roundtrip,specified,Strict registered parse/print is stable and preserves the reference's generic canonical IR.,roundtrip.ashr.scalar,llvm.ashr
execute.ashr,ashr: complete scalar results,llvm-execution,execution,specified,"On explicitly defined inputs, match an independent Python integer expectation and LLVM execution for every bit at i8, i32, i64 and i128. These samples are not a proof for all inputs.",execute.ashr.i8-0 execute.ashr.i8-1 execute.ashr.i8-2 execute.ashr.i8-3 execute.ashr.i32-0 execute.ashr.i32-1 execute.ashr.i32-2 execute.ashr.i32-3 execute.ashr.i64-0 execute.ashr.i64-1 execute.ashr.i64-2 execute.ashr.i64-3 execute.ashr.i128-0 execute.ashr.i128-1 execute.ashr.i128-2 execute.ashr.i128-3,llvm.ashr
verify.udiv.scalar,udiv: scalar integer types,llvm-compat,verification,specified,"Accept signless integer operands and a result of identical type at i1, i8, i32, i64 and i128.",verify.udiv.scalar.i1 verify.udiv.scalar.i8 verify.udiv.scalar.i32 verify.udiv.scalar.i64 verify.udiv.scalar.i128,llvm.udiv
verify.udiv.vectors,udiv: fixed and scalable vectors,llvm-compat,verification,specified,Accept homogeneous fixed and scalable LLVM-compatible integer vectors; shape and element type must agree.,verify.udiv.vectors.fixed verify.udiv.vectors.scalable,llvm.udiv
verify.udiv.mismatch,udiv: reject mismatched operand types,llvm-compat,verification,specified,"Reject i32/i64 operand mismatch with a type diagnostic, not a parser crash or unrelated rejection.",verify.udiv.mismatch.i32-i64,llvm.udiv
